BusinessDate,Weekday,Hotel Name,Currency,Inncode,FacilityID,Revenue,Sold,Available,Occ,ADR,RevPAR,F&B Revenue,TotalRevenue
1/1/2021,Friday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,585.69",33,99,33.33,78.35,26.12,0,"2,643.93"
1/1/2021,Friday,Hampton Inn Bowie,USD,DENMD,15671.0,"2,878.57",36,103,34.95,79.96,27.95,35.5,"3,145.21"
1/1/2021,Friday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,577.05,9,108,8.33,64.12,5.34,0,613.05
1/1/2021,Friday,Comfort Inn Orlando,USD,ORLFL,60421.0,"5,604.73",64,76,84.21,87.57,73.75,0,"5,706.81"
1/1/2021,Friday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,021.70",42,71,59.15,71.95,42.56,0,"3,026.65"
1/2/2021,Saturday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,733.40",38,99,38.38,71.93,27.61,540,"3,290.40"
1/2/2021,Saturday,Hampton Inn Bowie,USD,DENMD,15671.0,"2,650.52",29,103,28.16,91.4,25.73,51.6,"2,730.43"
1/2/2021,Saturday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"1,145.04",16,108,14.81,71.57,10.6,0,"1,147.54"
1/2/2021,Saturday,Comfort Inn Orlando,USD,ORLFL,60421.0,"4,609.80",55,76,72.37,83.81,60.66,0,"4,731.83"
1/2/2021,Saturday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"2,807.92",35,71,49.3,80.23,39.55,0,"2,812.87"
1/3/2021,Sunday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,504.54",32,99,32.32,78.27,25.3,0,"2,609.17"
1/3/2021,Sunday,Hampton Inn Bowie,USD,DENMD,15671.0,"1,643.84",22,103,21.36,74.72,15.96,60,"1,713.74"
1/3/2021,Sunday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,937.95,12,108,11.11,78.16,8.68,0,942.95
1/3/2021,Sunday,Comfort Inn Orlando,USD,ORLFL,60421.0,"2,516.32",32,76,42.11,78.64,33.11,0,"2,540.02"
1/3/2021,Sunday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"2,044.36",23,71,32.39,88.89,28.79,0,"2,049.31"
1/4/2021,Monday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"3,628.63",42,99,42.42,86.4,36.65,0,"3,639.22"
1/4/2021,Monday,Hampton Inn Bowie,USD,DENMD,15671.0,"3,417.07",41,103,39.81,83.34,33.18,31,"3,329.07"
1/4/2021,Monday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,063.53",25,108,23.15,82.54,19.11,0,"2,101.28"
1/4/2021,Monday,Comfort Inn Orlando,USD,ORLFL,60421.0,"3,312.83",41,76,53.95,80.8,43.59,0,"3,372.65"
1/4/2021,Monday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,037.78",33,71,46.48,92.05,42.79,0,"3,037.78"
1/5/2021,Tuesday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"4,054.91",47,99,47.47,86.27,40.96,0,"4,062.41"
1/5/2021,Tuesday,Hampton Inn Bowie,USD,DENMD,15671.0,"4,487.36",53,103,51.46,84.67,43.57,42,"4,641.43"
1/5/2021,Tuesday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,217.46",29,108,26.85,76.46,20.53,80,"2,301.06"
1/5/2021,Tuesday,Comfort Inn Orlando,USD,ORLFL,60421.0,"3,619.91",43,76,56.58,84.18,47.63,0,"3,638.27"
1/5/2021,Tuesday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"2,962.29",33,71,46.48,89.77,41.72,0,"2,962.29"
1/6/2021,Wednesday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"3,355.85",40,99,40.4,83.9,33.9,0,"3,379.35"
1/6/2021,Wednesday,Hampton Inn Bowie,USD,DENMD,15671.0,"4,259.14",51,103,49.51,83.51,41.35,99,"4,443.62"
1/6/2021,Wednesday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,745.66",35,108,32.41,78.45,25.42,80,"2,838.71"
1/6/2021,Wednesday,Comfort Inn Orlando,USD,ORLFL,60421.0,"3,753.20",43,76,56.58,87.28,49.38,0,"3,795.45"
1/6/2021,Wednesday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"2,711.43",34,71,47.89,79.75,38.19,0,"2,846.43"
1/7/2021,Thursday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,749.98",37,99,37.37,74.32,27.78,0,"2,800.13"
1/7/2021,Thursday,Hampton Inn Bowie,USD,DENMD,15671.0,"2,769.38",33,103,32.04,83.92,26.89,40,"2,809.39"
1/7/2021,Thursday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,396.56",31,108,28.7,77.31,22.19,0,"2,408.06"
1/7/2021,Thursday,Comfort Inn Orlando,USD,ORLFL,60421.0,"5,362.39",61,76,80.26,87.91,70.56,0,"5,375.43"
1/7/2021,Thursday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"1,738.90",23,71,32.39,75.6,24.49,75,"1,828.75"
1/8/2021,Friday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,614.94",33,99,33.33,79.24,26.41,0,"2,628.44"
1/8/2021,Friday,Hampton Inn Bowie,USD,DENMD,15671.0,"3,264.38",38,103,36.89,85.9,31.69,51.5,"3,549.53"
1/8/2021,Friday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,663.04,12,108,11.11,55.25,6.14,0,665.74
1/8/2021,Friday,Comfort Inn Orlando,USD,ORLFL,60421.0,"6,879.79",74,76,97.37,92.97,90.52,0,"6,982.30"
1/8/2021,Friday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"2,523.76",32,71,45.07,78.87,35.55,0,"2,523.76"
1/9/2021,Saturday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,407.65",33,99,33.33,72.96,24.32,0,"2,443.65"
1/9/2021,Saturday,Hampton Inn Bowie,USD,DENMD,15671.0,"3,264.50",40,103,38.83,81.61,31.69,38.25,"3,523.99"
1/9/2021,Saturday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"1,063.63",16,108,14.81,66.48,9.85,0,"1,076.88"
